cell,tsne_x,tsne_y,cluster
"Ute_P1_GFP_24",2.05898194513464,4.7851097112583,2
"Ute_P1_tdTom_23",-2.54677441869578,1.33283760677514,1
"Ute_P1_tdTom_28",-1.7505090003431,3.1588846498617,1
"Ute_P1_tdTom_35",-3.82087189617185,2.62400835325247,1
"Ute_P1_tdTom_41",-2.87928764019904,5.47942076761444,1
"Ute_P1_tdTom_44",-2.43521611973149,2.85258315929976,1
"Ute_P1_tdTom_19",-0.401923242716787,1.53722297049325,1
"Ute_P1_GFP_25",0.228721970543082,0.757198153213824,1
"Ute_P1_tdTom_29",-2.39500072555284,2.58581248698624,1
"Ute_P1_GFP_28",1.4970665145125,-4.52041937441803,2
"Ute_P1_tdTom_42",-2.18819510417224,0.899547838039814,1
"Ute_P1_GFP_33",-3.12618549120816,-1.92907454040189,1
"Ute_P1_Neg_22",2.13373363435385,3.16796822507103,2
"Ute_P1_GFP_26",4.02835874200802,7.20703678111632,2
"Ute_P1_tdTom_30",-3.86188446796696,3.30033957251094,1
"Ute_P1_tdTom_36",-1.74276289613297,4.02370068876042,1
"Ute_P1_Neg_27",7.18543413625871,4.69636726863909,6
"Ute_P1_Neg_28",5.82532151722256,4.38322520935833,6
"Ute_P1_Neg_23",3.63301669995796,3.68788323385511,2
"Ute_P1_tdTom_24",-3.05371797376939,3.17037498657994,1
"Ute_P1_GFP_27",-0.00586054946181758,-0.28022650098471,1
"Ute_P1_tdTom_37",-0.718387154105656,5.58554598709284,1
"Ute_P1_GFP_29",1.66657188469411,2.39396525877315,2
"Ute_P1_tdTom_45",-1.17976996670563,1.04697840211253,1
"Ute_P1_tdTom_20",1.87686290541011,3.46489784987907,2
"Ute_P1_Neg_25",-0.345109941624877,0.334477489493879,2
"Ute_P1_tdTom_31",-2.20876757490221,3.36244199891418,1
"Ute_P1_tdTom_38",-0.870146542874943,0.580850950598685,1
"Ute_P1_GFP_30",3.85094937323126,6.30706405099896,2
"Ute_P1_GFP_34",0.328157452104197,4.29019346895961,2
"Ute_P1_tdTom_21",-2.87750364030811,5.55180626672193,1
"Ute_P1_tdTom_25",2.84484402589797,4.38684057033404,2
"Ute_P1_tdTom_32",-2.24530360643938,2.38619734532603,1
"Ute_P1_tdTom_39",-3.07148257941264,2.02142580888124,1
"Ute_P1_GFP_31",0.304695373850755,0.0987679213816673,1
"Ute_P1_tdTom_46",4.05808017690594,7.27809373178648,2
"Ute_P1_tdTom_47",6.07216281372055,4.33986891471705,6
"Ute_P1_GFP_37",3.4136463300638,5.85816890259895,2
"Ute_P1_GFP_41",0.205789107863469,0.552144566259758,2
"Ute_P1_tdTom_57",-1.27170793639084,0.668709515362418,1
"Ute_P1_GFP_46",1.09348616113497,3.13745008800895,2
"Ute_P1_tdTom_65",-1.36897346885493,1.23795838109757,1
"Ute_P1_GFP_35",6.33199564046332,4.41952820457708,6
"Ute_P1_tdTom_52",1.8661249554638,3.80008247285087,2
"Ute_P1_tdTom_54",-3.57755760811718,3.94137428794667,1
"Ute_P1_Neg_34",4.80543755187338,8.4549432881557,2
"Ute_P1_tdTom_61",-3.171388251913,2.8989727167498,1
"Ute_P1_tdTom_66",-0.540886855935143,1.7352147533261,1
"Ute_P1_tdTom_48",-3.86499014841776,2.30130905394426,1
"Ute_P1_Neg_30",3.48684304261387,5.87263586979784,2
"Ute_P1_tdTom_55",2.63007936039092,4.53531037150169,2
"Ute_P1_GFP_44",-1.75090911225143,2.35123805776676,1
"Ute_P1_tdTom_62",3.72063897005501,6.62526542502558,2
"Ute_P1_GFP_50",3.94253738907198,6.9910855025676,2
"Ute_P1_GFP_36",0.328102019658519,0.976595733394389,1
"Ute_P1_GFP_38",-2.4692113084991,-0.283175696364663,1
"Ute_P1_Neg_32",6.71518691128524,4.54961844917013,6
"Ute_P1_tdTom_58",-1.66107941529131,2.12038183208772,1
"Ute_P1_GFP_47",2.99548100247194,6.45989792475091,2
"Ute_P1_GFP_51",3.43009456834965,6.00758267953329,2
"Ute_P1_tdTom_49",-0.836756411932624,1.25996348743725,1
"Ute_P1_tdTom_53",-1.4339274801962,3.28387572729968,1
"Ute_P1_tdTom_56",-3.24761543486844,2.06994013988754,1
"Ute_P1_Neg_35",2.67575087709882,3.47336907170489,2
"Ute_P1_GFP_48",6.07595255549535,4.40518245238766,6
"Ute_P1_tdTom_67",0.401245282110458,2.61966372872464,1
"Ute_P1_tdTom_50",-0.819613319191763,1.29560874374084,1
"Ute_P1_GFP_39",-0.0856658781667549,0.135949044813565,2
"Ute_P1_GFP_42",3.89218362432902,6.92454273096824,2
"Ute_P1_tdTom_59",-1.44095551832558,1.18280391743487,1
"Ute_P1_tdTom_63",0.0356784838830598,2.20339222026046,1
"Ute_P1_GFP_52",3.30161310576761,5.47771688131878,2
"Ute_P1_tdTom_51",-2.5786920313615,2.73454442444938,1
"Ute_P1_GFP_40",4.0468896780377,7.24781853271619,2
"Ute_P1_Neg_33",3.17172012755075,4.29169389104144,2
"Ute_P1_tdTom_60",6.52186368990685,4.45493826855915,6
"Ute_P1_tdTom_64",0.390369000410586,2.41338002549958,1
"Ute_P1_GFP_53",2.26979527300829,2.70872187795639,2
"Ute_P1_Neg_29",-4.60116837094556,2.76283729302482,1
"Ute_P1_Neg_31",3.35896571158496,4.83011578373499,2
"Ute_P1_GFP_43",1.41648086218314,2.54217294471876,2
"Ute_P1_GFP_45",4.03458288348189,7.31512990128405,2
"Ute_P1_GFP_49",0.652486722187954,1.8218615458561,1
"Ute_P1_tdTom_68",-2.6423682744039,3.20415641473468,1
"Co_P1_Ep_Neg_3",-3.51669150449961,-9.37369887398475,4
