"","V1","V2","V3","V4","V5","V6","V7","V8"
"ZGC:101564",976,330,146,88,84,140,5,0
"ZGC:101566",244,80,40,13,47,20,11,0
"ZGC:101569",755,266,90,45,94,102,13,0
"ZGC:101577",2439,983,567,233,384,388,45,0
"ZGC:101583",328,142,46,34,38,76,1,0
"ZGC:101640",274,79,71,335,32,115,2,0
"ZGC:101663",542,149,107,14,24,75,4,0
"ZGC:101664",1003,403,125,63,131,121,13,0
"ZGC:101679",1010,277,154,132,190,130,3,0
"ZGC:101699",7,0,2,0,0,0,0,0
"ZGC:101715",141,29,25,31,24,9,7,0
"ZGC:101716",249,121,60,19,29,33,2,0
"ZGC:101723",182,68,30,7,29,6,0,0
"ZGC:101731",0,1,0,0,0,0,0,0
"ZGC:101744",8970,3191,1943,583,1148,652,224,0
"ZGC:101748",1872,763,395,242,193,200,59,0
"ZGC:101765",730,295,192,50,122,104,30,0
"ZGC:101772",83,17,8,3,15,13,1,0
"ZGC:101783",553,120,53,145,58,24,0,0
"ZGC:101785",12,5,7,11,3,3,1,0
"ZGC:101788",2,0,11,0,0,3,0,0
"ZGC:101800",1262,516,237,105,181,127,38,0
"ZGC:101803",169,16,30,6,18,26,0,0
"ZGC:101810",2,2,0,5,1,2,0,0
"ZGC:101819",5762,2185,848,521,728,544,157,0
"ZGC:101840",17,9,5,0,0,0,0,0
"ZGC:101846",29214,9969,6339,2848,4361,2110,671,0
"ZGC:101851",2787,1117,497,235,441,260,48,0
"ZGC:101853",58,16,13,9,5,10,0,0
"ZGC:101858",614,185,135,92,73,35,15,0
"ZGC:103438",74,51,19,6,21,11,0,0
"ZGC:103482",7198,2381,1299,701,951,579,84,0
"ZGC:103499",716,287,175,44,121,57,9,0
"ZGC:103508",1416,535,287,95,232,163,29,0
"ZGC:103510",10,0,0,3,0,0,0,0
"ZGC:103511",149,75,29,11,17,38,2,0
"ZGC:103530",913,270,202,61,69,98,26,0
"ZGC:103536",967,447,173,21,177,78,15,0
"ZGC:103559",7,9,17,11,2,3,0,0
"ZGC:103564",908,314,110,78,156,64,15,0
"ZGC:103586",325,65,49,11,41,36,1,0
"ZGC:103599",0,0,1,0,0,0,0,0
"ZGC:103601",14,2,0,0,0,0,0,0
"ZGC:103625",2,3,0,0,0,0,0,0
"ZGC:103657",127,28,20,1,14,6,0,0
"ZGC:103670",2362,750,471,208,329,228,63,0
"ZGC:103678",21,0,0,1,0,0,0,0
"ZGC:103681",0,0,1,0,0,0,0,0
"ZGC:103688",10369,2962,1989,781,1511,746,298,0
"ZGC:103692",2975,1024,503,300,364,250,54,0
"ZGC:103697",7658,2560,1518,640,1036,626,175,0
"ZGC:103710",7,3,4,0,1,5,0,0
"ZGC:103755",8537,3298,1613,1224,1134,892,130,0
"ZGC:103759",146,38,23,35,11,15,8,0
"ZGC:103761",792,286,143,34,40,88,24,0
"ZGC:109719",10,0,0,0,0,1,0,0
"ZGC:109782",143,67,42,19,18,33,1,0
"ZGC:109809",1813,795,334,260,311,217,60,0
"ZGC:109868",1402,451,288,974,167,152,9,0
"ZGC:109889",1307,385,227,65,165,90,20,0
"ZGC:109913",16,0,3,0,5,1,0,0
"ZGC:109934",15521,4624,3296,1523,2237,675,409,0
"ZGC:109949",24,13,4,5,1,3,2,0
"ZGC:109965",2,1,2,1,0,4,0,0
"ZGC:109986",241,76,12,25,34,15,8,0
"ZGC:110006",46,27,7,8,0,14,0,0
"ZGC:110031",686,193,84,60,64,87,19,0
"ZGC:110045",0,1,0,0,0,1,0,0
"ZGC:110046",1390,513,261,171,248,116,36,0
"ZGC:110053",1,0,0,0,0,0,0,0
"ZGC:110063",161,12,8,23,13,5,0,0
"ZGC:110091",2171,849,443,151,305,158,47,0
"ZGC:110130",125,30,16,1,9,35,3,0
"ZGC:110155",165,57,43,13,12,40,6,0
"ZGC:110158",188,43,26,3,24,36,4,0
"ZGC:110182",322,66,28,14,68,23,5,0
"ZGC:110183",2683,885,474,244,385,124,50,0
"ZGC:110191",10,6,2,2,1,0,0,0
"ZGC:110197",0,0,0,0,1,0,0,0
"ZGC:110204",1,0,0,0,0,0,0,0
"ZGC:110216",21874,6691,4217,1739,3153,1037,655,0
"ZGC:110222",162,106,15,22,11,26,1,0
"ZGC:110224",1532,443,262,113,226,201,45,0
"ZGC:110238",642,328,129,65,83,118,7,0
"ZGC:110239",6804,2340,1323,656,1210,651,193,0
"ZGC:110249",1131,488,193,175,171,125,33,0
"ZGC:110255",1410,604,259,183,159,118,18,0
"ZGC:110269",2374,939,318,223,267,171,81,0
"ZGC:110283",5,3,3,0,0,0,0,0
"ZGC:110286",6,2,9,0,1,6,0,0
"ZGC:110319",1335,493,269,98,160,294,50,0
"ZGC:110329",460,209,75,41,47,88,26,0
"ZGC:110333",155,38,52,98,1,20,14,0
"ZGC:110339",6521,1754,1292,492,695,368,121,0
"ZGC:110340",22,0,0,2,5,0,0,0
"ZGC:110348",8,0,0,2,1,0,0,0
"ZGC:110353",9,27,0,12,1,2,0,0
"ZGC:110366",397,108,86,36,65,21,1,0
"ZGC:110372",98,74,16,3,13,7,1,0
"ZGC:110373",247,107,42,14,45,43,5,0
"ZGC:110410",7,0,4,0,0,0,0,0
"ZGC:110425",4657,1430,906,435,635,327,144,0
"ZGC:110540",2323,837,545,201,406,159,59,0
"ZGC:110567",963,289,127,328,112,58,10,0
"ZGC:110591",2481,890,339,229,357,317,27,0
"ZGC:110602",83,41,13,36,8,21,1,0
"ZGC:110626",19,10,6,13,3,2,0,0
"ZGC:110647",634,164,167,29,108,95,1,0
"ZGC:110697",652,189,111,79,81,99,17,0
"ZGC:110699",60,10,4,9,13,0,0,0
"ZGC:110712",620,88,368,360,99,131,4,0
"ZGC:110716",37,14,9,5,6,2,0,0
"ZGC:110741",2108,878,480,186,244,311,16,0
"ZGC:110782",18,0,0,0,0,1,0,0
"ZGC:110783",897,154,169,45,120,17,18,0
"ZGC:110788",350,106,39,53,21,16,16,0
"ZGC:110789",14,7,0,5,0,0,0,0
"ZGC:110796",3190,1003,343,220,433,157,61,0
"ZGC:110800",418,204,78,45,93,61,9,0
"ZGC:110816",702,322,121,72,42,128,9,0
"ZGC:110821",698,229,103,66,99,59,13,0
"ZGC:110843",858,341,196,48,109,72,40,0
"ZGC:110848",6,5,20,0,6,1,0,0
"ZGC:110852",44,19,8,8,6,25,0,0
"ZGC:111868",244,153,60,46,55,122,7,0
"ZGC:111976",937,357,227,46,125,74,0,0
"ZGC:111986",434,190,124,59,55,122,4,0
"ZGC:111992",0,0,0,1,0,0,0,0
"ZGC:112001",1,1,0,0,0,1,0,0
"ZGC:112023",52,39,4,6,6,16,1,0
"ZGC:112038",14,1,1,8,30,2,0,0
"ZGC:112052",593,245,98,70,96,78,14,0
"ZGC:112056",1530,486,268,118,155,97,25,0
"ZGC:112083",719,294,98,96,131,122,9,0
"ZGC:112084",122,62,10,36,16,20,0,0
"ZGC:112102",257,115,45,6,34,18,1,0
"ZGC:112104",6663,2194,1320,538,796,490,178,0
"ZGC:112146",757,276,167,92,111,41,13,0
"ZGC:112148",521,168,84,36,121,43,11,0
"ZGC:112160",1,3,0,0,0,0,0,0
"ZGC:112163",0,46,0,0,0,8,0,0
"ZGC:112175",112,32,29,12,19,13,0,0
"ZGC:112183",232,75,53,22,30,41,12,0
"ZGC:112185",527,112,83,34,110,35,10,0
"ZGC:112210",6,0,0,0,0,0,0,0
"ZGC:112231",863,349,163,59,163,67,27,0
"ZGC:112234",1822,636,325,115,276,116,63,0
"ZGC:112242",2,0,0,4,0,0,0,0
"ZGC:112255",1774,596,282,161,290,153,39,0
"ZGC:112263",476,136,65,23,62,20,13,0
"ZGC:112265",6,3,0,0,0,0,0,0
"ZGC:112271",190,82,17,0,27,5,4,0
"ZGC:112285",3,0,0,3,0,0,0,0
"ZGC:112294",7,0,0,0,0,1,0,0
"ZGC:112302",139,32,30,17,17,10,2,0
"ZGC:112315",19,0,0,4,1,0,0,0
"ZGC:112320",0,6,0,14,0,0,0,0
"ZGC:112332",830,539,84,91,95,55,12,0
"ZGC:112334",13,3,19,0,2,0,1,0
"ZGC:112356",9790,3550,1883,891,1422,1158,159,0
"ZGC:112368",4,0,4,2,0,4,0,0
"ZGC:112408",10,2,0,0,0,4,0,0
"ZGC:112416",11,1,1,3,1,1,1,0
"ZGC:112426",4303,1289,928,326,605,272,90,0
"ZGC:112432",906,270,183,32,171,77,26,0
"ZGC:112433",16,13,7,24,1,11,0,0
"ZGC:112437",9,0,1,3,0,0,0,0
"ZGC:112466",319,129,62,66,54,25,2,0
"ZGC:112492",1,3,2,2,0,0,0,0
"ZGC:112496",352,156,44,54,23,31,4,0
"ZGC:112531",14,0,0,0,0,3,0,0
"ZGC:112962",258,85,50,0,8,53,0,0
"ZGC:112965",15,7,13,1,8,3,0,0
"ZGC:112966",108,18,46,8,11,6,5,0
"ZGC:112970",232,152,50,23,50,15,4,0
"ZGC:112977",3622,1317,713,354,502,370,64,0
"ZGC:112980",4241,1371,714,461,541,433,113,0
"ZGC:112982",358,198,104,43,36,105,3,0
"ZGC:112985",63,13,13,1,13,0,0,0
"ZGC:112994",504,205,114,89,50,116,6,0
"ZGC:112998",533,209,122,48,41,60,11,0
"ZGC:113019",454,199,47,49,69,67,10,0
"ZGC:113025",91,50,15,4,6,7,0,0
"ZGC:113030",1875,696,307,207,259,215,34,0
"ZGC:113054",4814,1653,849,294,663,396,70,0
"ZGC:113057",1384,472,217,170,235,87,38,0
"ZGC:113060",285,97,76,16,16,49,25,0
"ZGC:113070",835,368,73,57,62,167,7,0
"ZGC:113076",4326,1890,741,404,701,319,152,0
"ZGC:113090",143,29,20,24,6,18,0,0
"ZGC:113098",282,85,60,17,51,20,4,0
"ZGC:113100",1313,487,210,101,170,121,13,0
"ZGC:113119",339,168,72,23,40,43,11,0
"ZGC:113121",257,107,53,23,70,14,0,0
"ZGC:113135",7703,2895,1436,629,1160,761,161,0
"ZGC:113142",2,0,0,0,1,0,0,0
"ZGC:113149",1594,462,308,236,339,156,65,0
"ZGC:113162",680,205,65,16,70,59,19,0
"ZGC:113176",5308,2091,1175,855,910,649,102,0
"ZGC:113184",358,107,63,33,40,19,2,0
"ZGC:113201",114,34,35,25,29,9,15,0
"ZGC:113208",450,196,48,60,132,19,7,0
"ZGC:113209",511,172,47,24,40,29,20,0
"ZGC:113210",91,58,19,2,21,14,5,0
"ZGC:113220",2161,850,326,139,286,362,33,0
"ZGC:113227",591,218,101,33,93,90,12,0
"ZGC:113229",40,32,6,7,3,9,0,0
"ZGC:113232",12,1,1,0,0,1,0,0
"ZGC:113250",35,14,4,1,32,0,0,0
"ZGC:113255",0,1,0,0,0,0,0,0
"ZGC:113263",660,238,102,64,72,32,0,0
"ZGC:113271",5,0,0,2,0,0,0,0
"ZGC:113274",1496,545,308,252,221,152,17,0
"ZGC:113276",5,2,0,7,1,0,0,0
"ZGC:113278",401,69,76,38,44,61,9,0
"ZGC:113279",43,34,4,0,8,5,0,0
"ZGC:113293",136,108,18,20,63,19,0,0
"ZGC:113294",634,190,106,49,46,36,20,0
"ZGC:113295",2512,1094,346,262,242,269,45,0
"ZGC:113305",241,40,33,12,33,22,0,0
"ZGC:113307",12,3,0,1,0,0,0,0
"ZGC:113314",156,116,31,11,16,9,0,0
"ZGC:113324",31,31,6,2,2,2,1,0
"ZGC:113333",15,0,6,17,0,0,0,0
"ZGC:113336",1473,613,153,123,194,150,37,0
"ZGC:113337",0,0,0,0,0,1,0,0
"ZGC:113340",476,215,78,29,34,68,25,0
"ZGC:113343",505,123,89,20,51,36,1,0
"ZGC:113348",756,284,145,95,83,52,13,0
"ZGC:113363",104,40,23,18,26,24,2,0
"ZGC:113364",74,38,52,7,4,6,4,0
"ZGC:113372",1787,539,462,236,216,173,59,0
"ZGC:113381",505,141,115,27,50,81,0,0
"ZGC:113389",2719,782,404,166,384,250,32,0
"ZGC:113390",31,29,0,3,8,1,0,0
"ZGC:113397",5504,2376,897,403,630,1044,72,0
"ZGC:113411",195,51,38,0,26,24,1,0
"ZGC:113413",46,30,6,13,5,2,1,0
"ZGC:113418",1050,321,193,62,128,117,32,0
"ZGC:113423",154,47,24,22,24,20,4,0
"ZGC:113424",3093,1097,588,274,407,596,81,0
"ZGC:113425",33,6,2,1,1,0,0,0
"ZGC:113426",213,6,30,12,9,44,9,0
"ZGC:113436",296,113,52,15,31,60,4,0
"ZGC:113442",321,88,71,86,33,35,7,0
"ZGC:113443",3385,1137,550,221,448,411,73,0
"ZGC:113452",411,149,90,29,66,72,2,0
"ZGC:113516",22,1,0,0,1,1,0,0
"ZGC:113518",855,291,173,113,139,61,10,0
"ZGC:113531",1,0,0,0,0,1,0,0
"ZGC:113625",10,10,0,5,0,1,0,0
"ZGC:113691",67,63,55,0,21,26,2,0
"ZGC:113921",461,164,44,50,57,46,18,0
"ZGC:113944",1091,462,206,112,189,142,17,0
"ZGC:113983",2343,778,498,234,359,214,79,0
"ZGC:113984",0,1,0,0,4,0,0,0
"ZGC:114037",5892,2210,1142,565,785,767,148,0
"ZGC:114040",4999,1955,943,454,657,515,128,0
"ZGC:114041",2719,1248,452,239,505,332,96,0
"ZGC:114045",86,20,1,56,9,6,0,0
"ZGC:114046",2830,1126,596,341,511,646,60,0
"ZGC:114060",1607,460,314,101,204,102,58,0
"ZGC:114081",175,57,39,32,35,33,2,0
"ZGC:114104",759,294,170,45,77,104,33,0
"ZGC:114118",354,146,53,47,28,19,2,0
"ZGC:114119",3356,1113,736,251,428,277,90,0
"ZGC:114120",79,29,22,7,3,13,0,0
"ZGC:114123",176,117,35,14,39,38,16,0
"ZGC:114127",11,3,5,0,0,1,0,0
"ZGC:114130",4698,1674,652,430,425,349,157,0
"ZGC:114169",2493,673,301,177,302,203,49,0
"ZGC:114173",167,37,66,21,19,7,5,0
"ZGC:114174",100,28,32,17,11,2,0,0
"ZGC:114175",20,3,0,0,0,3,0,0
"ZGC:114181",1,0,0,0,0,0,0,0
"ZGC:114188",24536,7573,4160,1978,3205,835,670,0
"ZGC:114200",1675,606,300,127,219,136,14,0
"ZGC:122979",103,19,3,4,4,3,0,0
"ZGC:122991",711,300,111,43,174,34,34,0
"ZGC:123007",399,170,56,27,64,43,2,0
"ZGC:123008",67,27,0,2,1,4,6,0
"ZGC:123010",600,194,166,69,92,53,1,0
"ZGC:123035",124,46,12,15,10,11,0,0
"ZGC:123068",233,149,35,265,14,59,0,0
"ZGC:123078",50,32,0,5,6,18,2,0
"ZGC:123096",4601,1494,745,318,502,312,97,0
"ZGC:123103",23,7,4,2,3,8,0,0
"ZGC:123105",4672,1519,926,354,617,388,78,0
"ZGC:123172",186,63,64,37,11,16,1,0
"ZGC:123180",4548,1478,617,277,538,275,137,0
"ZGC:123181",8,8,0,5,1,0,0,0
"ZGC:123194",59776,20250,12079,4232,8080,4239,1388,0
"ZGC:123217",7,8,0,3,1,0,0,0
"ZGC:123218",2,0,0,0,2,0,0,0
"ZGC:123238",431,142,57,39,60,64,1,0
"ZGC:123248",32,3,4,2,0,2,0,0
"ZGC:123258",125,32,15,11,9,13,1,0
"ZGC:123272",104,36,44,22,39,8,1,0
"ZGC:123275",3,0,1,0,0,0,0,0
"ZGC:123282",32,5,0,3,0,5,0,0
"ZGC:123284",13,3,0,2,0,1,1,0
"ZGC:123285",129,52,45,5,17,16,0,0
"ZGC:123295",112,62,43,62,34,15,0,0
"ZGC:123297",44,15,23,16,0,6,0,0
"ZGC:123299",6,1,1,0,1,0,0,0
"ZGC:123304",157,101,14,14,14,29,9,0
"ZGC:123305",79,17,30,8,5,17,0,0
"ZGC:123321",0,0,1,0,0,0,0,0
"ZGC:123333",476,128,53,49,41,17,12,0
"ZGC:123335",93,25,21,15,28,14,0,0
"ZGC:123339",12,0,0,0,0,0,0,0
"ZGC:136220",23,7,0,6,4,0,0,0
"ZGC:136254",470,186,109,28,58,65,0,0
"ZGC:136308",1111,452,188,110,139,172,17,0
"ZGC:136333",1,5,2,6,0,0,1,0
"ZGC:136336",16,6,27,3,1,2,2,0
"ZGC:136353",57,21,4,9,16,10,0,0
"ZGC:136360",1248,476,243,125,199,137,14,0
"ZGC:136410",0,1,0,0,0,0,0,0
"ZGC:136439",193,137,47,21,12,33,8,0
"ZGC:136472",167,88,14,11,27,14,0,0
"ZGC:136493",182,107,19,31,15,20,0,0
"ZGC:136538",5763,974,2864,239,324,503,22,0
"ZGC:136564",26,4,0,0,0,3,0,0
"ZGC:136572",103,20,19,4,5,7,7,0
"ZGC:136605",0,0,0,1,0,0,0,0
"ZGC:136614",20,12,2,1,4,4,0,0
"ZGC:136639",121,18,11,78,42,42,4,0
"ZGC:136739",17,13,7,1,12,3,1,0
"ZGC:136804",665,288,111,105,90,68,7,0
"ZGC:136808",48,19,8,3,13,2,0,0
"ZGC:136826",903,137,116,91,61,30,26,0
"ZGC:136839",94,11,35,8,0,13,2,0
"ZGC:136851",45,34,21,10,0,0,12,0
"ZGC:136858",62,24,29,15,2,12,0,0
"ZGC:136859",41,28,6,4,3,6,0,0
"ZGC:136861",8,0,0,1,2,0,0,0
"ZGC:136864",1886,522,283,171,181,118,11,0
"ZGC:136866",1203,518,217,100,191,99,61,0
"ZGC:136870",17,13,3,6,3,13,0,0
"ZGC:136872",5,1,13,0,0,0,0,0
"ZGC:136874",149,62,30,42,9,21,2,0
"ZGC:136892",72,46,24,124,0,51,0,0
"ZGC:136895",6,7,1,5,0,4,0,0
"ZGC:136908",21,9,3,1,8,0,0,0
"ZGC:136924",2,0,0,1,0,0,0,0
"ZGC:136929",113,33,7,9,5,5,5,0
"ZGC:136930",4,0,0,0,0,6,0,0
"ZGC:136963",4,0,3,7,0,0,0,0
"ZGC:136971",184,108,46,14,36,71,4,0
"ZGC:152652",432,111,97,44,51,91,14,0
"ZGC:152670",195,83,23,24,43,21,4,0
"ZGC:152698",7,25,0,0,2,0,0,0
"ZGC:152774",33,0,10,0,6,1,0,0
"ZGC:152808",186,109,8,6,29,6,15,0
"ZGC:152816",2871,913,520,251,359,583,53,0
"ZGC:152830",1542,613,327,124,245,37,23,0
"ZGC:152863",369,205,89,42,44,24,3,0
"ZGC:152891",42,32,17,9,3,0,0,0
"ZGC:152904",24,15,0,1,5,0,0,0
"ZGC:152916",10,25,0,0,5,0,0,0
"ZGC:152936",73,30,17,1,10,5,4,0
"ZGC:152938",1566,635,226,135,213,100,39,0
"ZGC:152945",1,0,0,0,0,0,0,0
"ZGC:152948",793,211,182,49,99,28,24,0
"ZGC:152951",73,10,37,5,4,10,0,0
"ZGC:152968",260,100,53,36,77,30,20,0
"ZGC:152986",960,437,141,93,127,119,17,0
"ZGC:153012",90,29,3,1,1,18,0,0
"ZGC:153018",615,170,272,165,78,118,4,0
"ZGC:153031",0,0,0,1,3,0,0,0
"ZGC:153039",204,40,40,18,31,14,5,0
"ZGC:153041",326,104,35,25,23,41,7,0
"ZGC:153044",58,46,11,0,7,6,0,0
"ZGC:153049",42,23,13,3,8,8,1,0
"ZGC:153073",187,44,55,210,27,52,0,0
"ZGC:153102",2,2,0,0,0,0,0,0
"ZGC:153115",5466,1646,1118,486,757,547,142,0
"ZGC:153116",655,316,122,79,91,46,15,0
"ZGC:153118",0,0,0,0,0,4,0,0
"ZGC:153119",23,1,14,0,0,5,2,0
"ZGC:153126",641,336,68,68,72,114,20,0
"ZGC:153129",939,360,174,79,115,98,30,0
"ZGC:153137",1,2,0,0,0,0,0,0
"ZGC:153142",9,8,6,1,0,0,0,0
"ZGC:153146",28,4,3,3,0,0,0,0
"ZGC:153151",27,2,1,1,13,0,1,0
"ZGC:153154",278,75,59,27,23,58,24,0
"ZGC:153157",12,2,5,7,0,1,0,0
"ZGC:153169",508,225,77,43,73,27,2,0
"ZGC:153184",31,6,10,7,13,2,0,0
"ZGC:153215",2258,776,385,162,338,210,39,0
"ZGC:153219",158,59,31,4,9,9,2,0
"ZGC:153225",1542,652,148,161,171,152,16,0
"ZGC:153234",226,49,50,19,71,15,0,0
"ZGC:153240",89,5,0,0,2,4,1,0
"ZGC:153247",31,3,1,2,0,3,0,0
"ZGC:153253",130,39,13,11,0,31,2,0
"ZGC:153256",27,0,3,1,18,3,1,0
"ZGC:153258",1080,415,314,98,148,223,18,0
"ZGC:153284",256,14,13,5,8,7,2,0
"ZGC:153292",338,102,68,6,10,26,9,0
"ZGC:153293",3674,1116,533,305,511,308,128,0
"ZGC:153311",9,0,0,0,7,0,0,0
"ZGC:153317",1,0,3,0,0,0,1,0
"ZGC:153343",754,259,88,42,104,79,13,0
"ZGC:153345",199,161,35,43,61,51,1,0
"ZGC:153351",512,135,100,28,61,58,2,0
"ZGC:153352",359,148,80,17,35,33,10,0
"ZGC:153361",145,22,16,4,20,41,8,0
"ZGC:153372",175,118,51,8,20,34,2,0
"ZGC:153383",70,13,15,8,36,9,0,0
"ZGC:153389",793,258,142,118,157,54,11,0
"ZGC:153394",16,1,1,3,0,0,0,0
"ZGC:153405",7853,2526,1616,711,1148,549,203,0
"ZGC:153409",4715,1245,668,424,608,288,232,0
"ZGC:153426",443,147,63,56,53,96,9,0
"ZGC:153440",586,274,112,31,47,90,14,0
"ZGC:153441",50,38,10,0,0,10,0,0
"ZGC:153492",866,251,148,81,143,67,23,0
"ZGC:153499",1605,353,249,76,197,149,37,0
"ZGC:153512",100,42,18,2,12,6,0,0
"ZGC:153521",8,2,0,1,5,0,0,0
"ZGC:153522",11,5,0,0,3,0,0,0
"ZGC:153595",19,37,10,5,15,7,0,0
"ZGC:153606",624,160,133,44,68,36,16,0
"ZGC:153629",13,20,1,0,0,0,0,0
"ZGC:153631",32,11,0,1,0,3,0,0
"ZGC:153639",30,0,9,0,0,1,0,0
"ZGC:153650",391,141,77,47,44,56,6,0
"ZGC:153654",7,2,1,0,0,8,0,0
"ZGC:153659",36,9,8,7,6,1,0,0
"ZGC:153665",762,362,151,688,119,126,10,0
"ZGC:153675",537,161,122,96,103,141,6,0
"ZGC:153681",142,33,19,13,7,5,0,0
"ZGC:153702",92,15,11,19,8,5,0,0
"ZGC:153704",3,4,0,0,0,0,0,0
"ZGC:153713",1225,328,167,97,155,50,64,0
"ZGC:153720",5,0,0,0,1,0,0,0
"ZGC:153722",311,180,103,36,39,32,2,0
"ZGC:153725",262,106,39,24,28,51,9,0
"ZGC:153733",155,14,26,18,23,12,0,0
"ZGC:153738",214,28,31,8,6,5,5,0
"ZGC:153739",0,0,2,0,0,0,0,0
"ZGC:153740",85,20,6,15,14,6,0,0
"ZGC:153759",47,30,9,10,11,5,1,0
"ZGC:153788",496,238,92,50,53,49,12,0
"ZGC:153845",9,0,0,0,0,0,0,0
"ZGC:153846",0,1,0,0,0,0,0,0
"ZGC:153847",89,46,40,8,24,23,2,0
"ZGC:153867",4765,1678,834,603,773,511,71,0
"ZGC:153893",235,136,72,18,19,32,6,0
"ZGC:153896",27,3,7,9,0,5,0,0
"ZGC:153901",501,106,73,41,77,14,13,0
"ZGC:153910",2911,1113,574,175,271,305,60,0
"ZGC:153911",164,113,42,85,12,21,1,0
"ZGC:153913",0,0,4,2,0,0,0,0
"ZGC:153916",379,196,50,63,31,63,12,0
"ZGC:153920",0,5,0,0,0,0,0,0
"ZGC:153921",13,10,4,1,5,0,0,0
"ZGC:153922",11,10,3,1,3,0,1,0
"ZGC:153924",91,8,5,12,4,3,1,0
"ZGC:153929",395,116,62,81,32,43,2,0
"ZGC:153932",49,6,1,17,9,0,0,0
"ZGC:153935",69,24,9,6,34,4,11,0
"ZGC:153952",1041,274,293,202,202,190,19,0
"ZGC:153953",337,24,71,10,28,15,5,0
"ZGC:153968",1,0,0,0,0,0,0,0
"ZGC:153981",28,5,3,0,5,14,0,0
"ZGC:153990",2472,766,463,250,380,241,73,0
"ZGC:153993",27,60,27,14,0,12,1,0
"ZGC:153997",771,388,76,51,102,88,21,0
"ZGC:154006",2,1,0,0,0,0,0,0
"ZGC:154015",236,72,51,3,21,22,2,0
"ZGC:154018",373,133,145,79,48,33,1,0
"ZGC:154040",9,34,0,1,2,3,0,0
"ZGC:154045",147,57,7,21,22,10,6,0
"ZGC:154046",0,10,0,0,0,0,0,0
"ZGC:154054",60,7,1,1,18,9,0,0
"ZGC:154055",11,1,1,0,0,1,0,0
"ZGC:154058",74,10,31,2,35,5,0,0
"ZGC:154061",252,115,37,29,24,20,16,0
"ZGC:154064",2921,1120,574,296,479,219,81,0
"ZGC:154075",75,45,7,36,2,17,2,0
"ZGC:154077",247,73,14,33,21,41,1,0
"ZGC:154086",756,310,61,73,85,64,16,0
"ZGC:154093",1248,508,179,204,194,110,18,0
"ZGC:154116",1759,668,404,181,289,126,43,0
"ZGC:154125",3,21,3,0,1,1,0,0
"ZGC:154142",2,0,0,0,0,0,0,0
"ZGC:154164",665,205,130,119,120,207,9,0
"ZGC:154169",70,21,28,8,6,8,0,0
"ZGC:158222",24,10,3,9,4,8,0,0
"ZGC:158225",412,167,58,233,34,42,3,0
"ZGC:158234",1707,525,341,84,254,122,40,0
"ZGC:158254",34,22,6,0,4,5,0,0
"ZGC:158257",61,7,7,2,8,9,0,0
"ZGC:158258",236,65,46,38,30,16,7,0
"ZGC:158263",31,6,19,2,2,6,0,0
"ZGC:158270",246,104,44,54,36,41,0,0
"ZGC:158291",18,7,14,0,0,6,0,0
"ZGC:158292",62,25,2,1,12,2,11,0
"ZGC:158296",1,0,1,0,0,0,0,0
"ZGC:158297",1224,327,240,133,274,72,20,0
"ZGC:158299",28,14,24,2,0,1,0,0
"ZGC:158309",19,0,0,0,0,0,0,0
"ZGC:158316",187,66,42,16,38,20,5,0
"ZGC:158320",152,144,18,25,62,34,17,0
"ZGC:158328",4,3,0,3,0,0,0,0
"ZGC:158340",10,29,2,0,0,0,1,0
"ZGC:158343",60,13,7,8,2,2,0,0
"ZGC:158346",107,21,13,5,14,1,0,0
"ZGC:158357",535,171,106,75,114,70,9,0
"ZGC:158364",1328,459,278,126,230,136,20,0
"ZGC:158376",530,191,160,38,104,22,6,0
"ZGC:158387",15851,4962,2812,1291,2176,1598,407,0
"ZGC:158398",53,5,9,20,12,14,2,0
"ZGC:158403",397,216,107,16,72,71,7,0
"ZGC:158404",1,1,0,0,0,0,0,0
"ZGC:158409",25631,8008,4350,1815,3275,2070,647,0
"ZGC:158417",8,4,0,0,0,0,0,0
"ZGC:158420",3648,1177,697,509,479,311,93,0
"ZGC:158423",26,0,2,2,1,0,0,0
"ZGC:158427",18,1,6,3,0,0,0,0
"ZGC:158432",27,21,3,13,2,0,18,0
"ZGC:158445",34,8,0,6,0,5,1,0
"ZGC:158446",2,0,18,3,2,1,0,0
"ZGC:158463",299211,97083,64223,36627,43646,28986,8468,0
"ZGC:158464",4,7,0,1,1,2,0,0
"ZGC:158482",88,8,36,15,23,6,0,0
"ZGC:158494",277,123,52,17,53,59,1,0
"ZGC:158564",762,324,240,66,168,77,7,0
"ZGC:158604",4533,1673,875,472,821,574,58,0
"ZGC:158619",644,261,124,97,86,81,16,0
"ZGC:158624",121,81,31,4,33,37,17,0
"ZGC:158640",136,75,97,28,90,16,11,0
"ZGC:158643",18,26,14,17,2,15,0,0
"ZGC:158645",32,19,13,20,14,7,0,0
"ZGC:158654",1,0,0,0,0,0,0,0
"ZGC:158657",236,55,32,42,22,16,7,0
"ZGC:158659",12,2,0,1,3,0,0,0
"ZGC:158666",13,19,4,2,0,11,0,0
"ZGC:158689",11,0,0,0,0,0,0,0
"ZGC:158766",37,14,4,1,8,3,5,0
"ZGC:158773",8,6,8,7,0,2,0,0
"ZGC:158785",493,200,99,60,80,46,6,0
"ZGC:158803",9594,3227,1637,626,1182,699,236,0
"ZGC:158828",152,76,22,10,24,17,1,0
"ZGC:158846",24,4,13,9,1,4,0,0
"ZGC:158847",40,32,33,0,17,0,0,0
