"","V1","V2","V3","V4","V5","V6","V7","V8"
"ROM1B",0,0,0,0,0,2,0,0
"ROPN1L",4,24,1,3,0,0,0,0
"RORAA",42,26,0,6,0,0,0,0
"RORAB",61,15,7,14,5,2,0,0
"RORB",5,0,0,0,0,0,0,0
"RORCA",2,4,0,10,2,1,0,0
"RORCB",5,0,4,0,1,0,0,0
"RP2",3687,1334,723,338,522,368,78,0
"RP9",1223,372,258,110,230,57,53,0
"RPA1",3642,1383,732,265,473,389,88,0
"RPA2",1042,329,233,83,151,130,39,0
"RPA3",17167,6486,3186,1504,2210,1428,352,0
"RPAIN",2477,972,508,216,433,386,74,0
"RPAP2",632,128,97,43,60,33,0,0
"RPE",2743,865,498,274,377,226,93,0
"RPE65A",5,0,0,0,3,8,0,0
"RPE65B",311,97,13,31,3,5,16,0
"RPE65C",115,73,22,2,14,7,0,0
"RPF1",5777,2035,974,449,797,584,150,0
"RPF2",5320,1542,970,482,728,564,98,0
"RPGRIP1L",803,293,143,53,100,95,19,0
"RPIA",2555,1133,420,170,415,272,63,0
"RPL10",4705,1346,972,485,649,405,152,0
"RPL10A",18057,5444,3868,1422,2657,1087,478,0
"RPL11",72872,23997,13438,6327,9347,5303,1662,0
"RPL12",19612,6318,3754,2037,2653,2023,432,0
"RPL13",2864,866,510,286,396,190,62,0
"RPL13A",16121,5045,3394,1266,1875,1153,393,0
"RPL14",16519,4636,2956,1556,2159,625,517,0
"RPL15",5268,1598,1110,534,801,485,142,0
"RPL17",17533,5191,3562,1595,2238,1046,373,0
"RPL18",22671,6847,4662,2219,3149,2157,672,0
"RPL18A",25178,7783,5094,1946,3017,2251,580,0
"RPL19",31217,9523,6188,2553,4183,2512,915,0
"RPL21",15654,5303,3126,1398,2043,729,429,0
"RPL22",5193,1769,1092,465,561,314,190,0
"RPL22L1",3928,1081,854,418,433,206,103,0
"RPL23",10585,3079,1986,1051,1313,856,261,0
"RPL23A",11525,3788,2350,995,1617,822,253,0
"RPL24",14657,4728,2816,1049,1852,970,306,0
"RPL26",22962,7141,4600,1973,3124,1329,739,0
"RPL27",863,332,225,155,142,110,22,0
"RPL27A",510,203,107,41,85,43,5,0
"RPL28",3184,1017,462,258,298,290,105,0
"RPL3",23472,7737,4574,2074,3325,2391,598,0
"RPL30",12264,3763,2143,1015,1528,816,357,0
"RPL31",7655,2349,1433,596,1004,327,218,0
"RPL32",43852,13554,8421,3880,5403,4626,1112,0
"RPL34",11760,3796,2268,969,1384,918,356,0
"RPL35",1003,267,199,104,148,110,36,0
"RPL35A",8121,2405,1558,681,981,734,158,0
"RPL36",11528,3974,2161,1107,1514,893,331,0
"RPL36A",24286,7079,4799,2008,3123,1192,752,0
"RPL37",943,357,172,79,153,62,30,0
"RPL38",11783,3624,2433,975,1547,550,256,0
"RPL39",39818,12477,7879,3675,5186,2007,1161,0
"RPL4",6905,2524,1473,793,855,792,143,0
"RPL5A",2187,577,320,184,272,159,47,0
"RPL5B",15464,5406,3041,1471,2166,1280,419,0
"RPL6",2713,735,452,288,370,343,87,0
"RPL7",15356,4531,3038,1184,1969,1071,351,0
